,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Expected,Predicted
0,0.4899328859060403,0.4999999999999999,0.3333333333333332,0.6271186440677966,0.4583333333333333,1,1.0
1,0.12080536912751678,0.38888888888888895,0.7499999999999998,0.11864406779661016,0.08333333333333333,0,0.0
2,0.7919463087248322,0.9444444444444444,0.25,1.0,0.9166666666666666,2,2.0
3,0.5234899328859061,0.4722222222222222,0.3749999999999999,0.5932203389830508,0.5833333333333334,1,1.0
4,0.5100671140939598,0.6944444444444443,0.3333333333333332,0.6440677966101694,0.5416666666666666,1,1.0
5,0.2080536912751678,0.30555555555555564,0.5833333333333333,0.0847457627118644,0.12500000000000003,0,0.0
6,0.42953020134228187,0.361111111111111,0.3749999999999999,0.4406779661016949,0.5,1,1.0
7,0.9463087248322147,0.7222222222222222,0.4583333333333333,0.6949152542372881,0.9166666666666666,2,2.0
8,0.4563758389261745,0.5277777777777778,0.0833333333333334,0.5932203389830508,0.5833333333333334,1,1.0
9,0.5503355704697986,0.41666666666666663,0.2916666666666667,0.4915254237288135,0.4583333333333333,1,1.0
10,0.738255033557047,0.611111111111111,0.5,0.6949152542372881,0.7916666666666666,2,2.0
11,0.08053691275167785,0.13888888888888887,0.41666666666666663,0.06779661016949151,0.0,0,0.0
12,0.24161073825503357,0.3333333333333333,0.6249999999999999,0.05084745762711865,0.04166666666666667,0,0.0
13,0.06040268456375839,0.1666666666666668,0.4583333333333333,0.0847457627118644,0.0,0,0.0
14,0.12751677852348994,0.22222222222222213,0.7499999999999998,0.0847457627118644,0.08333333333333333,0,0.0
15,0.37583892617449666,0.5555555555555555,0.5416666666666665,0.6271186440677966,0.625,1,1.0
16,0.697986577181208,0.611111111111111,0.41666666666666663,0.8135593220338982,0.8750000000000001,2,2.0
17,0.46308724832214765,0.361111111111111,0.20833333333333331,0.4915254237288135,0.4166666666666667,1,1.0
18,0.3691275167785235,0.38888888888888895,0.3333333333333332,0.5932203389830508,0.5,1,1.0
19,0.8859060402684564,0.5833333333333334,0.3333333333333332,0.7796610169491525,0.8750000000000001,2,2.0
20,0.19463087248322147,0.11111111111111119,0.5,0.1016949152542373,0.04166666666666667,0,0.0
21,0.8523489932885906,0.4999999999999999,0.41666666666666663,0.6610169491525424,0.7083333333333334,2,2.0
22,0.174496644295302,0.19444444444444448,0.5833333333333333,0.1016949152542373,0.12500000000000003,0,0.0
23,0.8590604026845637,0.5833333333333334,0.3333333333333332,0.7796610169491525,0.8333333333333334,2,2.0
24,0.8791946308724832,1.0,0.7499999999999998,0.9152542372881356,0.7916666666666666,2,2.0
25,0.9731543624161074,0.6666666666666666,0.41666666666666663,0.711864406779661,0.9166666666666666,2,2.0
26,0.7248322147651006,0.6666666666666666,0.20833333333333331,0.8135593220338982,0.7083333333333334,2,2.0
27,0.959731543624161,0.6944444444444443,0.5,0.8305084745762712,0.9166666666666666,2,2.0
28,0.30201342281879195,0.13888888888888887,0.41666666666666663,0.06779661016949151,0.08333333333333333,0,0.0
29,0.20134228187919462,0.13888888888888887,0.4583333333333333,0.1016949152542373,0.04166666666666667,0,0.0
